,Name,Actual_price,Selling_price,Overall_rating,No_of_ratings_and_reviews,Reviews,Discount,One_star,Two_star,Three_star,Four_star,Five_star,Postive,Negative,Neutral
17,"Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 2.38 kg, With MS Office)","₹56,590","₹35,200",4.3,"3,330 Ratings & 351 Reviews",",Excellent,Perfect product!,Classy product,Just wow!,Simply awesome,Mind-blowing purchase,Very Good,Value-for-money,Really Nice,Excellent product",37% off,"1,943",935,218,60.0,174,8,0,3
18,"RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)","₹59,990","₹39,990",4.2,"1,985 Ratings & 269 Reviews",",Highly recommended but wait for upcoming mi laptop,Very Good,Fabulous!,Must buy!,Brilliant,Perfect product!,Terrific purchase,Mind-blowing purchase,Super!,Classy product",33% off,"1,069",560,160,39.0,157,8,0,3
19,"Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","₹68,490","₹45,990",4.3,508 Ratings & 62 Reviews,",Excellent,Wonderful,Value-for-money,Terrific purchase,Very Good,Simply awesome,Terrific,Great product,Just wow!,Very Good",32% off,291,154,29,7.0,27,9,0,2
20,"ASUS Vivobook 15 Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M515DA-BQ722WS Laptop  (15.6 inch, Transparent Silver, 1.8 kg, With MS Office)","₹74,990","₹46,990",4.4,16 Ratings & 1 Reviews,,37% off,11,3,1,0.0,1,0,0,0
21,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop  (14 inch, Platinum Grey, 1.5 kg, With MS Office)","₹60,890","₹34,999",4.3,81 Ratings & 8 Reviews,",Pretty good,Great product,Just wow!,Best in the market!,Good quality product,Terrific purchase,Excellent,Awesome",42% off,49,21,5,1.0,5,8,0,1
22,"acer Aspire 3 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop  (15.6 inch, Pure Silver, 1.9 kg)","₹44,999","₹34,390",4.0,170 Ratings & 21 Reviews,",Very Good,Good choice,Wonderful,Highly recommended,Worth every penny,Delightful,Simply awesome,Utterly Disappointed,Worth every penny,Worth every penny",23% off,87,46,13,4.0,20,9,1,1
23,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","₹60,959","₹47,490",4.4,260 Ratings & 32 Reviews,",Good quality product,Perfect product!,Must buy!,Wonderful,Terrific,Must buy!,Perfect product!,Just wow!,Worth every penny,Terrific",22% off,155,72,17,4.0,12,8,0,3
24,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 kg, With MS Office)","₹60,959","₹47,490",4.4,260 Ratings & 32 Reviews,",Good quality product,Perfect product!,Must buy!,Wonderful,Must buy!,Terrific,Perfect product!,Just wow!,Best in the market!,Worth every penny",22% off,155,72,17,4.0,12,8,0,3
25,"HP HP Pavilion Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650Ti/144 Hz) 15-ec1025AX Gaming Laptop  (15.6 inch, Shadow Black, 1.98 kg)","₹76,020","₹52,990",4.4,"2,153 Ratings & 209 Reviews",",Fabulous!,Classy product,Wonderful,Excellent,Very Good,Terrific purchase,Mind-blowing purchase,Must buy!,Terrific,Wonderful",30% off,"1,372",517,126,28.0,110,8,0,3
26,"acer Aspire 3 Core i5 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) A315-58 Notebook  (15.6 Inch, Pure Silver, 1.7 Kg)","₹57,999","₹44,890",2.0,3 Ratings & 0 Reviews,,22% off,0,1,0,0.0,2,0,0,0
27,"Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15IHU6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 kg)","₹76,890","₹50,990",4.6,0,,33% off,0,1,0,0.0,2,0,0,0
28,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop  (14 inch, Platinum Grey, 1.5 kg, With MS Office)","₹60,890","₹34,999",4.3,81 Ratings & 8 Reviews,",Pretty good,Great product,Just wow!,Best in the market!,Good quality product,Terrific purchase,Excellent,Awesome",42% off,49,21,5,1.0,5,8,0,1
29,"acer Aspire 3 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop  (15.6 inch, Pure Silver, 1.9 kg)","₹44,999","₹34,390",4.0,170 Ratings & 21 Reviews,",Very Good,Good choice,Worth every penny,Wonderful,Highly recommended,Simply awesome,Utterly Disappointed,Worth every penny,Delightful,Fabulous!",23% off,87,46,13,4.0,20,9,1,1
30,"ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg)","₹33,990","₹26,990",4.1,116 Ratings & 18 Reviews,",Excellent,Delightful,Value-for-money,Fabulous!,Must buy!,Nice,Great product,Classy product,Great product,Mind-blowing purchase",20% off,63,29,9,2.0,13,7,0,4
31,"Lenovo Legion 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15ITH6 Gaming Laptop  (15.6 inch, Phantom Blue, Shadow Black, 2.4 Kg, With MS Office)","₹1,53,490","₹1,15,990",4.1,32 Ratings & 7 Reviews,",Value-for-money,Fabulous!,Perfect product!,Slightly disappointed,Decent product,Does the job",24% off,13,13,4,1.0,1,2,1,4
32,"Lenovo Ideapad Slim 5i Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 15 ITL 05 Thin and Light Laptop  (15.6 Inch, Graphite Grey, 2.48 kg, With MS Office)","₹1,01,390","₹58,290",4.4,"1,058 Ratings & 122 Reviews",",Great machine at good price,Best in the market!,Good quality product,Wonderful,Awesome,Brilliant,Really Nice,Simply awesome,Wonderful,Delightful",42% off,680,257,46,15.0,60,10,0,1
33,"HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s- DY2501TU Thin and Light Laptop  (14 inch, Natural Silver, 1.46 kg, With MS Office)","₹45,892","₹39,550",4.4,"5,321 Ratings & 570 Reviews",",Simply awesome,Mind-blowing purchase,Perfect product!,Great product,Worth the money,Value-for-money,Really Nice,Classy product,fast laptop with Windows 10 + office + 1 month of antivirus,Awesome first impression !",13% off,"3,276","1,366",314,82.0,283,7,0,4
34,"Lenovo IdeaPad 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","₹88,990","₹51,990",4.3,148 Ratings & 15 Reviews,",Worth the money,Nice product,Excellent,Absolute rubbish!,Nice product,Absolute rubbish!,Good choice,Super!,Nice,Excellent",41% off,74,52,13,3.0,6,8,0,3
35,"Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) 16ITH6H Gaming Laptop  (16 inch, Stingray, With MS Office)","₹2,24,490","₹1,57,990",4.6,10 Ratings & 0 Reviews,,29% off,6,4,0,0.0,0,0,0,0
36,"DELL Inspiron Pentium Silver - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3521 Notebook  (15.6 Inch, Carbon Black, 1.61 Kg, With MS Office)","₹43,494","₹33,590",4.1,104 Ratings & 10 Reviews,",Best in the market!,Pretty good,Terrific,Nice,Great product,Wonderful,Good quality product,Wonderful,Don't waste your money",22% off,59,19,12,5.0,9,9,0,1
37,"HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light Laptop  (14 inch, Natural Silver, 1.46 Kg, With MS Office)","₹57,042","₹46,938",4.4,652 Ratings & 73 Reviews,",Must buy!,Must buy!,Wonderful,Highly recommended,Terrific,Really Nice,Classy product,Worth the money,Perfect product!,Delightful",17% off,407,162,36,11.0,36,8,0,3
38,"acer Intel EVO Swift 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) SF514-55TA Thin and Light Laptop  (14 Inch, Mist Green, 1.05 Kg, With MS Office)","₹1,09,999","₹74,990",4.6,"(61,939)",,31% off,407,162,36,11.0,36,0,0,0
39,"ASUS VivoBook K15 OLED Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L712WS Thin and Light Laptop  (15.6 Inch, Indie Black, 1.80 Kg, With MS Office)","₹86,990","₹65,990",4.4,240 Ratings & 39 Reviews,",Terrific purchase,Value-for-money,Worth every penny,Worth every penny,Fabulous!,Value-for-money,Perfect product!,Highly recommended,Brilliant,Fair",24% off,157,50,11,5.0,17,8,0,3
40,"ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L511WS Thin and Light Laptop  (15.6 inch, Hearty Gold, 1.80 kg, With MS Office)","₹80,990","₹60,990",4.5,174 Ratings & 25 Reviews,",Super!,Very Good,Fabulous!,Delightful,Simply awesome,Excellent,Super!,Terrific purchase,Fabulous!,Must buy!",24% off,124,31,9,2.0,8,9,0,2
41,"ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin and Light Laptop  (15.6 inch, Indie Black, 1.80 kg, With MS Office)","₹60,990","₹42,990",4.5,"1,020 Ratings & 184 Reviews",",Brilliant,Highly recommended,Fabulous!,Perfect product!,Mind-blowing purchase,Terrific,Highly recommended,Great product,Worth every penny,Good quality product",29% off,681,231,46,14.0,48,9,0,2
42,"DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511,Inspiron 3000 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)","₹59,389","₹45,490",4.3,"1,085 Ratings & 138 Reviews",",Best in the market!,Delightful,Just okay,Great product,Good choice,Fabulous!,Super!,Awesome,Classy product,Value-for-money",23% off,641,287,73,20.0,64,9,0,2
43,"ASUS VivoBook Ultra K15 OLED Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) K513EA-L322WS Thin and Light Laptop  (15.6 inch, Indie Black, 1.80 kg, With MS Office)","₹62,990","₹45,990",4.2,28 Ratings & 5 Reviews,",Terrific purchase,Terrific purchase,Wonderful,Terrific purchase",26% off,17,6,1,1.0,3,4,0,1
44,"DELL Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XPS 9305 Thin and Light Laptop  (13.4 inch, Platinum Silver, 1.16 kg, With MS Office)","₹1,49,645","₹1,14,190",4.6,"(61,939)",,23% off,17,6,1,1.0,3,0,0,0
45,"acer Aspire 7 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-75G-50TA/ A715-75G-41G/ A715-75G-52AA Gaming Laptop  (15.6 inch, Black, 2.15 Kg)","₹89,999","₹49,990",4.4,"12,410 Ratings & 1,340 Reviews",",Superb,Very Good,Just wow!,Good,Wonderful,Great product,Worth the money,Nice product,Super!,Awesome",44% off,"7,775","3,296",686,183.0,470,10,0,1
46,"ASUS VivoBook 15 (2022) Core i3 11th Gen - (4 GB/256 GB SSD/Windows 10 Home) X515EA-EJ302TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹58,988","₹33,990",4.3,"1,703 Ratings & 211 Reviews",",Just wow!,Mind-blowing purchase,Worth the money,Super!,Fabulous!,Wonderful,Good quality product,Does the job,Best in the market!,Wonderful",42% off,986,454,134,33.0,96,8,0,3
47,"ASUS VivoBook Ultra 14 (2022) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X413EA-EB532WS Thin and Light Laptop  (14 inch, Bespoke Black, 1.40 kg, With MS Office)","₹80,990","₹55,990",4.3,198 Ratings & 22 Reviews,",Fabulous!,Classy product,Really Nice,Simply awesome,Really Nice,Worth every penny,Great product,Must buy!,Useless product,Worthless",30% off,122,45,9,5.0,17,7,2,2
48,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN355W Gaming Laptop  (15.6 inch, Black Plastic, 2.30 Kg)","₹74,990","₹57,990",4.5,"4,451 Ratings & 498 Reviews",",Excellent,Awesome,Terrific,Wonderful,Review after excessive use of 7 days.,Mind-blowing purchase,Awesome,Fabulous!,Highly recommended,Really Nice",22% off,"2,973","1,023",207,64.0,184,8,0,3
49,"ASUS VivoBook Ultra 14 (2021) Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X413EA-EB533WS Thin and Light Laptop  (14 inch, Dreamy White, 1.40 kg, With MS Office)","₹80,990","₹55,990",4.3,198 Ratings & 22 Reviews,",Fabulous!,Classy product,Really Nice,Simply awesome,Really Nice,Worth every penny,Great product,Must buy!,Useless product,Worthless",30% off,122,45,9,5.0,17,7,2,2
50,"ASUS Vivobook Ultra K15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) K513EA-L313WS Laptop  (15.6 inch, Transparent Silver, 1.8 kg, With MS Office)","₹62,990","₹45,490",5.0,4 Ratings & 0 Reviews,,27% off,4,0,0,0.0,0,0,0,0
51,"Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 15IHU6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 kg)","₹76,890","₹50,990",4.6,0,,33% off,4,0,0,0.0,0,0,0,0
52,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop  (15.6 inch, Black Plastic, 2.30 kg kg)","₹70,990","₹55,990",4.6,17 Ratings & 4 Reviews,,21% off,14,2,0,0.0,1,0,0,0
53,"ASUS VivoBook 14 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X415EA-EB572WS Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg, With MS Office)","₹72,990","₹49,990",4.1,251 Ratings & 25 Reviews,",Terrific purchase,Wonderful,Value-for-money,Terrific,Terrific,Just okay,Delightful,Really Nice,Super!,Good quality product",31% off,136,64,20,5.0,26,9,0,2
54,"ASUS Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X515EA-EJ312WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)","₹50,990","₹36,990",4.3,670 Ratings & 90 Reviews,",Highly recommended,Super!,Brilliant,Delightful,Worth every penny,Super!,Worth the money,Great product,Worth the money,Best in the market!",27% off,403,176,35,14.0,42,10,0,1
55,"Lenovo Legion 5 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/120 Hz) 15ITH6 Gaming Laptop  (15.6 inch, Phantom Blue, Shadow Black, 2.4 Kg, With MS Office)","₹1,53,490","₹1,15,990",4.1,32 Ratings & 7 Reviews,",Value-for-money,Fabulous!,Perfect product!,Slightly disappointed,Decent product,Does the job",24% off,13,13,4,1.0,1,2,1,4
56,"ASUS VivoBook Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) X415EA-EK342WS Thin and Light Laptop  (14 Inch, Transparent Silver, 1.60 Kg, With MS Office)","₹50,990","₹35,990",4.3,248 Ratings & 30 Reviews,",Terrific,Very Good,Excellent,Best in the market!,Value-for-money,Good,Good quality product,Brilliant,Absolute rubbish!,Very Good",29% off,144,65,17,6.0,16,8,0,3
57,"ASUS VivoBook Ultra 14 (2021) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X413EA-EB323WS Thin and Light Laptop  (14 inch, Dreamy White, 1.40 kg, With MS Office)","₹56,990","₹41,990",4.4,"2,553 Ratings & 378 Reviews",",BEST OPTION UNDER 45000.,Classy product,Just wow!,Excellent,Classy product,Super!,Really Nice,Simply awesome,Wonderful,Great product",26% off,"1,603",687,131,37.0,95,10,0,1
58,"HP Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-FQ5009TU Notebook  (15.6 inch, Silver, With MS Office)","₹65,444","₹54,990",4.8,4 Ratings & 0 Reviews,,15% off,3,1,0,0.0,0,0,0,0
59,"Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) 16ITH6H Gaming Laptop  (16 inch, Stingray, With MS Office)","₹2,24,490","₹1,57,990",4.6,10 Ratings & 0 Reviews,,29% off,6,4,0,0.0,0,0,0,0
60,"ASUS VivoBook 14 (2022) Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-EB311WS Thin and Light Laptop  (14 inch, Quiet Blue, 1.50 kg, With MS Office)","₹62,990","₹47,990",2.3,3 Ratings & 1 Reviews,,23% off,1,0,0,0.0,2,0,0,0
61,"RedmiBook 15 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)","₹51,990","₹31,990",4.2,"1,333 Ratings & 178 Reviews",",Terrific purchase,Very Good,Best in the market!,Good choice,Great product,Brilliant,Value-for-money,Good for study and normal office work.,Worth the money,Decent product",38% off,743,374,104,23.0,89,8,0,3
62,"ASUS VivoBook 14 (2022) Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) X1402ZA-EB511WS Thin and Light Laptop  (14 inch, Quiet Blue, 1.50 kg, With MS Office)","₹82,990","₹62,990",4.6,(300),,24% off,743,374,104,23.0,89,0,0,0
63,"acer Aspire 7 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-42G Gaming Laptop  (15.6 inch, Black, 2.15 kg)","₹89,999","₹54,990",4.5,"3,613 Ratings & 466 Reviews",",Mind-blowing purchase,Must buy!,Excellent,Pretty good,Pretty good,Super!,Value-for-money,Really Nice,Worth every penny,Terrific purchase",38% off,"2,368",941,153,30.0,121,7,0,4
64,"ASUS VivoBook 15 Ryzen 3 Dual Core - (4 GB/256 GB SSD/Windows 10 Home) M515DA-BQ312TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 Kg, With MS Office)","₹42,990","₹31,990",4.3,"3,292 Ratings & 430 Reviews",",Mind-blowing purchase,Wonderful,Terrific purchase,Terrific,Best in the market!,Super!,Very Good,Terrific purchase,Must buy!,Worth the money",25% off,"1,932",889,254,70.0,147,8,0,3
65,"DELL Vostro Core i3 11th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Vostro 3400 Thin and Light Laptop  (14 inch, Accent Black, 1.58 kg, With MS Office)","₹45,810","₹39,470",4.0,228 Ratings & 16 Reviews,",Value-for-money,Delightful,Really Nice,Really Nice,Excellent,Classy product,Excellent,Just wow!,Really Nice,Nice",13% off,108,69,19,2.0,30,9,0,2
66,"ASUS Core i3 10th Gen - (4 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) X515JA-EJ372TS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 Kg, With MS Office)","₹49,990","₹31,990",4.3,"2,663 Ratings & 299 Reviews",",Nice product,Does the job,Terrific,Best for productive works(Except Camera),Worth the money,Simply awesome,Wonderful,Wonderful,Great product,Perfect product!",36% off,"1,522",788,183,50.0,120,9,0,2
